,Unnamed: 0,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
109,109,서부1동 마음충전상담카페,마음충전 상담카페,5,15,초기값,경북 경산시 성암로9길 16,"11:00 - 23:00
22:00 라스트오더",053-216-4239,http://www.instagram.com/bobae01035104239,"""마음충전 상담카페는 보배로운 당신이 일상으로부터 잠 시 휴식하며 지친 마음을 충전 할 수 있는힐링카페 입니 다. 차와 음악~독서로 여유를 가지며 상담을 통...""",공사중,"""{'커피가 맛있어요': '6', '친절해요': '5', '대화하기 좋아요': '5', '매장이 청결해요': '4'}"""
110,110,서부1동 카페꽃이피다,카페꽃이피다,4.43,173,40,경북 경산시 성암로9길 25,10:00 - 23:00,0507-1424-2666,NO INFO,"""우드로 꾸며진 아늑하고 포근한 카페 아기자기한 소품들이 어울려 맛있는 디저트 와 커피 한 잔의 여유를 느낄 수 있는 카페 꽃이 피다입니다 캔에 담아드리는 캔실링컨셉의 카페 꽃이 피다. 완변학 배합으로 블렌딩한 원두로 깊고 풍부한 커피 맛!! 최대 2일 이상 넘기지 않는 원두의 신선함.. 그리고 디카페인으로 이미 너무나도 유명해진 카페 꽃이 피다입니다""",공사중,"""{'커피가 맛있어요': '67', '음료가 맛있어요': '36', '디저트가 맛있어요': '31', '친절해요': '31', '가성비가 좋아요': '23'}"""
111,111,서부1동 마칸로스터리,마칸로스터리,초기값,72,21,경북 경산시 성암로9길 27 1층 마칸로스터리,08:00 - 17:30,0507-1386-2684,https://smartstore.naver.com/macanroastery,"""라떼가 맛있는 집 마칸로스터리는 좋은 품질의 커피를 직접 볶아 좋은 가격에 제공합니다.

쓰지않고 단맛과 향이 풍부한 커피를 마칸로스터리에서 경험해보세요.

버터크림 가득 시그니처메뉴와 직접만든 디저트도 준비되어 있습니다!

(마칸로스터리는 리뷰광고를 진행하지 않습니다.)""",공사중,"""{'커피가 맛있어요': '60', '친절해요': '36', '매장이 청결해요': '24', '인테리어가 멋져요': '17'}"""
112,112,동부동 르솔커피,르솔커피,초기값,80,19,경북 경산시 솔숲길12길 3-1 102호,10:00 - 22:00,0507-1445-3789,https://blog.naver.com/ehdud3789,"""경북 경산 카페 맛집 '르솔커피' 수족관을 보며 커피와 샌드위치를 즐겨보세요 모든 샌드위치들은 주문 즉시 조리하기에 보다 맛있게 제공해 드리기위해 노...""",공사중,"""{'커피가 맛있어요': '61', '음료가 맛있어요': '52', '친절해요': '44', '디저트가 맛있어요': '43', '가성비가 좋아요': '32', '특별한 메뉴가 있어요': '32', '인테리어가 멋져요': '29', '매장이 청결해요': '20', '사진이 잘 나와요': '18', '대화하기 좋아요': '14', '뷰가 좋아요': '8', '좌석이 편해요': '3', '주차하기 편해요': '3', '집중하기 좋아요': '3', '화장실이 깨끗해요': '3', '컨셉이 독특해요': '2', '차분한 분위기에요': '1', '아이와 가기 좋아요': '1', '양이 많아요': '1'}"""
113,113,동부동 길리파이,길리파이,초기값,49,20,경북 경산시 솔숲길4길 2-8 1층 길리파이,10:00 - 20:00,010-8669-4571,NO INFO,"""프랑스전통과자 플랑과 주문제작 파이케이크. 싱글원두로 뽑아내는 좋은 커피까지 즐기실수 있습니다""",공사중,"""{'디저트가 맛있어요': '37', '친절해요': '24', '특별한 메뉴가 있어요': '19', '커피가 맛있어요': '15'}"""
114,114,남부동 후버,후버,4.6,791,467,경북 경산시 솔숲길4길 6-14 1층,"10:00 - 23:00
22:00 라스트오더",0507-1413-0712,https://www.instagram.com/cafe_hoover,"""안녕하세요 당신의 오아시스, 후버입니다 hoover는 이 곳을 좋아해 주실 모든 분께 열려있습니다 황량한 사막 에도 어딘가엔 목을 축이고 쉬어갈 수 있는 오아...""",공사중,"""{'커피가 맛있어요': '219', '디저트가 맛있어요': '130', '인테리어가 멋져요': '116', '친절해요': '97', '매장이 청결해요': '95'}"""
115,115,압량읍 붕어빵굽는바리스타,붕어빵 굽는 바리스타,초기값,28,9,"경북 경산시 압량읍 고분길 27 1층, 2층",09:00 - 22:00,053-812-5353,NO INFO,"""프랑스 유학 다녀온 토종붕어 입니다.
동생 모붕도 있어요^^
페스츄리 붕어빵의 만남 크붕어를 만나보세요.
오픈기념으로 20%세일 중 입니다.
부담없는 가격대로 만나 보세요^^""",공사중,"""{'친절해요': '21', '커피가 맛있어요': '18', '디저트가 맛있어요': '15', '특별한 메뉴가 있어요': '13'}"""
116,116,압량읍 하이핌핀,하이핌핀,초기값,131,44,경북 경산시 압량읍 압독1로 13 하이핌핀,정기휴무 (매주 수요일),0507-1489-0295,https://www.instagram.com/hi_pimpin,"""커피와 디저트를 기반에 두고,
부담없이 누릴 수 있는 푼푼한 공간으로
저희 Hi-pimpin을 다녀간 모든 분이
원하는 바를 꼭 이루길 바라는 마음으로
기본에 충실하고 전력을 다하여 이 공간을 만들어 갑니다.""",공사중,"""{'친절해요': '96', '커피가 맛있어요': '94', '디저트가 맛있어요': '85', '음료가 맛있어요': '63'}"""
117,117,압량읍 마실커피 신대부적점,마실커피 신대부적점,4.45,276,58,경북 경산시 압량읍 압독2로1길 20-15 1층,08:00 - 01:00,053-801-1212,https://www.instagram.com/2th_masilcoffee,"""NO INFO""",공사중,"""{'커피가 맛있어요': '128', '가성비가 좋아요': '94', '음료가 맛있어요': '80', '친절해요': '75', '주차하기 편해요': '34'}"""
118,118,압량읍 와글,와글,초기값,29,3,경북 경산시 압량읍 압독2로8길 21 1층 와글,09:30 - 21:00,0507-1341-1085,NO INFO,"""신대부적 카페, 신대리 카페, 경산 카페, 커피,소금빵,샌드위치,디저트,에그샌드위치,와플,크로플,휘낭시에 등등 맛난 음료와 디저트가 있어요""",공사중,"""{'커피가 맛있어요': '20', '디저트가 맛있어요': '16', '음료가 맛있어요': '12', '친절해요': '10'}"""
119,119,압량읍 커피이즈,커피이즈,초기값,31,6,경북 경산시 압량읍 압독3로2길 16 1층,"10:00 - 20:30
20:00 라스트오더",0507-1396-6568,https://www.instagram.com/magnolia_blanc13,"""반갑습니다. 커피이즈입니다.
저희 가게는 고소하면서 부드러운 에스프레소를 내려 아메리카노로도 카페라떼로도 맛있게 드실수 있어 손님들께서 맛있다는 말씀을 많이 해 주십니다.
소다팝(에이드)은 직접 작츱하거나 과육비율을 높인 고급 퓨레를 사용합니다. 스무디도 직접 손질한 과일과 과일 함량 높은 퓨레를 사용합니다. 스무디, 에이드는 특히 과일과 퓨레를 적절하게 아끼지 않고 잘 사용해야 합니다. 재료를 아끼지 않고 많이 넣어 드려요,

모든 커피 음료는 디카페인 변경 가능하고, 모든 우유 제품은 우유 못드시는 분들도 라떼를 드실 수 있도록 비건밀크인 오트밀(귀리)밀크가 준비되어 있어 언제든지 변경 가능합니다.

커피이즈는 커피를 좋아하고 향기를 사랑하는 향수카페 입니다.
커피이즈의 향기 브랜드 '마뇰리아 블랑'에서 제작한 향기 전시 상품을 체험하고 구매 하실 수 있습니다
나만의 향기를 조향하는 클래스를 운영하고 있으니 원데이 클래스 안내는 카카오톡플러스 '마뇰리아블랑'이나 네이버 예약 확인 후 언제든지 문의 주세요!

신선한 샌드위치와 김밥은 주문 즉시 조리하며 재료는 항상 직접 고른 최상의 것들을 사용하여 가득 넣어 드립니다. 단체주문도 가능 합니다. 간이 약하고 좋은 재료만 넣은 아기김밥도 있어요.

주문 포장시 용기 가져오시면 모든음료, 김밥, 샌드위치 200씩 할인 해 드립니다. 용기 내 주세요!

어린이들을 위해서 컬러링시트(색칠놀이)가 준비 되어 있고, 어르신들이 즐겨 찾으실 수 있는 여러 음료들도 준비되어 있습니다.

카페 커피이즈와 아틀리에 마뇰리아 블랑에서 잠시나마 향기로운 일상의 순간을 즐기세요!""",공사중,"""{'커피가 맛있어요': '19', '친절해요': '12', '디저트가 맛있어요': '10', '음료가 맛있어요': '9'}"""
120,120,압량읍 리암커피,리암커피,4.85,35,초기값,경북 경산시 압량읍 압독3로2길 28 1층 리암커피,09:00 - 20:00,0507-1482-0981,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '19', '친절해요': '19', '음료가 맛있어요': '10', '가성비가 좋아요': '9', '매장이 청결해요': '7'}"""
121,121,압량읍 윈썸,윈썸 경산점,초기값,20,9,경북 경산시 압량읍 압독4로 17,10:00 - 22:00,0507-1363-2206,https://www.instagram.com/winsome_room,"""안녕하세요 경산 신대리에 위치한 수제 샌드위치, 쿠키 전문 디저트 카페 윈썸입니다. 영남대 근처 신대부적에 위치한 카페 윈썸은 디저트 전문 카페로 업체에...""",공사중,"""{'디저트가 맛있어요': '14', '친절해요': '13', '커피가 맛있어요': '11', '가성비가 좋아요': '11'}"""
122,122,압량읍 짹슨커피 영대점,짹슨커피 영대점,초기값,22,5,경북 경산시 압량읍 압독4로1길 20 1층 짹슨커피,"09:00 - 24:00
23:55 라스트오더",0507-1383-3406,https://www.instagram.com/jjackson_yn,"""안녕하세요.짹슨커피 영대점입니다. 짹슨커피만의 맛있는 디저트와 음료들을 판매중입니다. 깨끗하고 위생적인 공간에서 정성을 담아 만들어드리고 있습니다. 짹슨커피 영대점은 작지만 아기자기한 매장에 반려견동반도 가능해요~(전용공간이 아니므로 목줄착용부탁드립니다~) 작지만 따뜻한 공간에 놀러오세요~""",공사중,"""{'커피가 맛있어요': '12', '음료가 맛있어요': '8', '가성비가 좋아요': '7', '친절해요': '6'}"""
123,123,자인면 오던,오던,초기값,767,481,경북 경산시 압량읍 압독로 199,NO INFO,053-817-5005,NO INFO,"""NO INFO""",공사중,"""{'주차하기 편해요': '171', '뷰가 좋아요': '167', '커피가 맛있어요': '142', '디저트가 맛있어요': '126'}"""
124,124,압량읍 마들카페,마들카페,초기값,27,2,경북 경산시 압량읍 압량시장길 1 201호,NO INFO,010-8568-5703,NO INFO,"""마들카페는 압량읍 주민들로 이루어진 협동조합입니다. 대표음료로는 현지에서 바로 공급한 수삼라떼. 생과일 쥬스등. 가격은 저렴하지만 재료는 최상급의 맛을 보장합니다. 아이들과 엄마들을 위한 파티룸을 완비하고 야외 테라스도 마련되어 있습니다.""",공사중,"""{'커피가 맛있어요': '14', '가성비가 좋아요': '9', '음료가 맛있어요': '8', '주차하기 편해요': '7'}"""
125,125,압량읍 BWV211,BWV211,4.38,47,초기값,경북 경산시 압량읍 조산로 11,10:00 - 24:00,053-801-2110,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '8', '친절해요': '6', '매장이 청결해요': '5', '음료가 맛있어요': '4', '대화하기 좋아요': '3'}"""
126,126,압량읍 씨엘로,씨엘로,초기값,17,25,경북 경산시 압량읍 청운로 85 101호,"12:00 - 24:00
23:30 라스트오더",010-3926-0518,NO INFO,"""씨엘로에서 쿠폰 14개 적립시 전국 영화관 시지브이 메가박스 롯데시네마에서 사용가능한 영화티켓 증정중이에요 많은 방문 부탁드릴게요!
외부테라스에서는 흡연및 애견도 동반 가능하니 많은 방문부탁드랴용 ^^
저희 휘낭시에는 진한풍미가 일품이에요 오셔서 드셔보세요^^""",공사중,"""{'친절해요': '12', '디저트가 맛있어요': '9', '음료가 맛있어요': '9', '매장이 청결해요': '7'}"""
127,127,서부1동 바이버리커피,바이버리커피,초기값,60,13,경북 경산시 옥산로 108 1층 바이버리 커피,11:00 - 21:00,0507-1373-4666,https://www.instagram.com/bibury_coffee,"""헤이즐넛 슈페너, 아몬드 크림라떼가 맛있는 경산 옥산동 카페""",공사중,"""{'커피가 맛있어요': '34', '친절해요': '34', '인테리어가 멋져요': '29', '음료가 맛있어요': '24'}"""
128,128,와촌면 카페803,Cafe.803,4.59,64,140,경북 경산시 와촌면 갓바위로 550 카페 803,NO INFO,053-746-7779,http://instagram.com/cafe.803,"""방갈로 안에서 개인적으로 쉴수 있는 공간이 특징인 카페입니다 놀러오세요~""",공사중,"""{'커피가 맛있어요': '10', '대화하기 좋아요': '10', '뷰가 좋아요': '9', '친절해요': '8', '주차하기 편해요': '6'}"""
129,129,와촌면 주주베,주주베,4.31,28,초기값,경북 경산시 와촌면 상암길 113,정기휴무 (매주 수요일),053-853-5550,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '15', '디저트가 맛있어요': '4', '좌석이 편해요': '3', '친절해요': '3', '매장이 청결해요': '3'}"""
130,130,와촌면 별빛정원,별빛정원,4.2,36,초기값,경북 경산시 와촌면 팔공로 45-10,NO INFO,053-856-3337,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '11', '뷰가 좋아요': '8', '인테리어가 멋져요': '6', '음료가 맛있어요': '5', '친절해요': '5'}"""
131,131,남산면 호미호시,호미호시,4.44,1110,663,경북 경산시 원효로 275,"11:00 - 22:00
21:00 라스트오더",0507-1389-6779,http://instagram.com/homihosi,"""NO INFO""",공사중,"""{'커피가 맛있어요': '201', '인테리어가 멋져요': '179', '주차하기 편해요': '127', '매장이 청결해요': '127', '디저트가 맛있어요': '125'}"""
132,132,동부동 팔롬비니 계양점,팔롬비니 계양점,초기값,41,15,경북 경산시 원효로26길 42,10:00 - 22:00,0507-1497-0188,NO INFO,"""스터디 카페 처럼 편안하고 다양한 커피를 즐기실 수 있으며, 늘 청결을 중요시 합니다. 많은 사랑 부탁드립니다.""",공사중,"""{'커피가 맛있어요': '22', '디저트가 맛있어요': '19', '친절해요': '14', '음료가 맛있어요': '12'}"""
133,133,동부동 까페지니,카페지니,초기값,171,20,경북 경산시 원효로28길 32-1 이루아 1층,10:00 - 19:00,0507-1341-5699,NO INFO,"""에그빵 미니버거 리얼블루베리우유 리얼망고유유 찐맛집:)""",공사중,"""{'커피가 맛있어요': '114', '디저트가 맛있어요': '102', '특별한 메뉴가 있어요': '87', '음료가 맛있어요': '86'}"""
134,134,동부동 블랑제리라팡,블랑제리라팡,초기값,191,124,경북 경산시 원효로36길 7 1층 101호,"11:00 - 21:00
20:00 라스트오더",0507-1362-5879,http://www.instagram.com/boulangerie_lapin,"""첨가제, 냉동생지를 사용하지 않고 당일 생산한 빵을 당일 판매하는 프랑스 식사빵전문 베이커리 카페입니다. 프랑스밀 t45, t65, t130(호밀), t150(통밀)을 사용하여 빵을 만듭니다""",공사중,"""{'커피가 맛있어요': '71', '디저트가 맛있어요': '68', '친절해요': '37', '음료가 맛있어요': '24'}"""
135,135,남산면 카페산토리니마을,카페 산토리니 마을,4.44,475,303,경북 경산시 유곡길 183-29 카페산토리니마을,"11:00 - 19:00
18:30 라스트오더",070-8611-8607,NO INFO,"""카페 산책로를 따라 벚나무와 복숭아, 살구 나무가 있어 아름다운 자연과 함께 커피를 즐길 수 있는 카페 입니다.
산책로를 거릴다 보면 소나무 숲이 있고 끝에는 저수지가 있어 고즈늑한 분위기를 즐길 수 있습니다.

*애견 동반은 가능하시나 매장 내 이용은 불가하며, 야외 테라스 및 정원 내 시설을 이용 하시면 됩니다.""",공사중,"""{'뷰가 좋아요': '144', '커피가 맛있어요': '104', '인테리어가 멋져요': '60', '사진이 잘 나와요': '55', '음료가 맛있어요': '53'}"""
136,136,남산면 우윳집,우윳집 자인점,초기값,71,85,경북 경산시 자인면 금학로 8-8 1층,NO INFO,0507-0289-5350,https://100원커피이벤트-선착순주문하기.com,"""신선한 목장우유와 제철 지역과일로 만드는 맛있는 음료와 디저트 :) 매장내 제로웨이스트코너도 운영중이에요""",공사중,"""{'디저트가 맛있어요': '38', '친절해요': '37', '음료가 맛있어요': '33', '특별한 메뉴가 있어요': '33'}"""
137,137,자인면 쏠,쏠 작은폭포,초기값,219,70,경북 경산시 자인면 꾸메마을길 6,"10:30 - 21:00
20:00 라스트오더",0507-1440-0086,https://www.instagram.com/solwaterfalls/,"""물소리와 함께하는 커피한잔의 여유 053-856-0056""",공사중,"""{'커피가 맛있어요': '106', '뷰가 좋아요': '90', '인테리어가 멋져요': '71', '디저트가 맛있어요': '62'}"""
138,138,남산면 베러먼데이커피 경산자인점,베러먼데이 경산자인점,4.79,235,초기값,경북 경산시 자인면 북사로 27,08:00 - 19:00,0507-1419-7780,https://bettermonday.coffee/,"""직장인을 위한 라이프스타일 드링크샵
건강한 푸드 라이프의 실현이 베러먼데이커피를 통해 쉬워집니다.

에너지(ENERGY) 라인부터 베러(BETTER) 라인까지 맛과 건강을 모두 잡은 차별화된 메뉴 구성으로 많은 고객에게 사랑 받고 있습니다.
베러먼데이커피의 메뉴는 한의사 등 전문가와 함께 개발하여 '건강'한 음료와 디저트를 만나실 수 있습니다.

[신메뉴 소식]

23.09 [시즌] 하이,유자C 시즌음료 3종 출시

23.09 [협업] 얼티브 신메뉴 2종 출시

23.06 [시즌] 팥쉐이크 시즌음료 3종 출시

[메뉴 소개]

- ENERGY LINE
에너지 충전이 필요한 순간에!

- HEALTHY LINE
맛과 건강 모두를 즐기고 싶은 순간에!

- DRINK LINE
일상 속 행복을 느끼고 싶은 순간에!

- BETTER LINE
원재료의 맛과 영양을 한잔에!

**음료가 맛이 없거나 생각했던 음료 맛과 다르면 '100% 교환, 환불'해드립니다!!""",공사중,"""{'커피가 맛있어요': '81', '음료가 맛있어요': '64', '가성비가 좋아요': '51', '친절해요': '50', '디저트가 맛있어요': '30'}"""
139,139,남산면 구룸밭,구룸밭,초기값,27,16,경북 경산시 자인면 서부1길 17-8 1층,NO INFO,0507-1379-2696,https://www.instagram.com/gurum.pat,"""편안하고 자연과 함께 힐링하기 좋은 곳 천천히 내려 부드러운 드립커피와 과일 베이스의 깔끔한 맛의 티를 경험해보세요""",공사중,"""{'커피가 맛있어요': '16', '친절해요': '16', '뷰가 좋아요': '11', '매장이 청결해요': '10'}"""
140,140,남산면 안포레,안포레,4.43,875,865,경북 경산시 자인면 원효로 757-5,정기휴무 (매주 수요일),0507-1435-1405,NO INFO,"""안포레는 자연속에서 힐링할 수 있는 카페입니다 맛잇 는 커피와 경산 브런치 카페로 유명합니다. 또한 계정숲 옆에 위치해서 경산 데이트코스도 괜찮은 자연...""",공사중,"""{'커피가 맛있어요': '299', '인테리어가 멋져요': '241', '뷰가 좋아요': '240', '디저트가 맛있어요': '223', '친절해요': '204'}"""
141,141,남산면 포레스트리,포레스트리,4.57,129,58,경북 경산시 자인면 원효로161길 126,10:00 - 20:00,010-7252-1532,https://www.instagram.com/forestree_official/,"""NO INFO""",공사중,"""{'커피가 맛있어요': '37', '음료가 맛있어요': '16', '인테리어가 멋져요': '16', '주차하기 편해요': '15', '매장이 청결해요': '15'}"""
142,142,동부동 달과6펜스,달과6펜스,4.76,129,초기값,경북 경산시 장산로 257 1층,09:00 - 21:00,0507-1344-5889,http://instagram.com/dalryuk2,"""직접볶은원두로 내린 커피와
유기농밀 천연버터로 직접구운디저트류를 판매하는 곳입니다
작고아담하지만 마음의 쉼터가 될 수 있는 공간이 되길바라는 달6입니다""",공사중,"""{'커피가 맛있어요': '60', '친절해요': '43', '가성비가 좋아요': '42', '음료가 맛있어요': '40', '디저트가 맛있어요': '27'}"""
143,143,중앙동 카페벙커 서상한옥점,카페벙커 서상한옥점,4.7,281,240,경북 경산시 장산로18길 14-1 카페벙커 서상한옥점,NO INFO,053-811-4370,https://www.instagram.com/cafebunker10,"""경산에서 가장 오래된 로스터리 카페
마음이 따뜻해지는 편안한 커피

카페벙커 서상한옥점 053)811-4370""",공사중,"""{'커피가 맛있어요': '109', '인테리어가 멋져요': '55', '친절해요': '52', '대화하기 좋아요': '36', '음료가 맛있어요': '31'}"""
144,144,동부동 마음의풍경,마음의풍경,초기값,10,1,경북 경산시 장산로50길 1 마음의풍경,NO INFO,0507-1449-0049,NO INFO,"""소중한 고객님의 마음에 풍경을 그려드리는 마음의 풍경입니다~^^
수제청, 차를 주로 다루고 수제 화과자, 수제양갱, 그외 디저트가 준비되어 있습니다~!""",공사중,"""{'음료가 맛있어요': '5', '인테리어가 멋져요': '5', '특별한 메뉴가 있어요': '4', '커피가 맛있어요': '3'}"""
145,145,남부동 드리브,드리브,초기값,167,196,경북 경산시 중방동 615-4,NO INFO,010-4689-0688,https://www.instagram.com/nadadribp/,"""경산 로스터리 매장으로 여러분들께 좋은 커피와 행복한 하루를 선물하겠습니다. 주차장 주소: 중방동 615-4""",공사중,"""{'커피가 맛있어요': '101', '인테리어가 멋져요': '56', '사진이 잘 나와요': '52', '음료가 맛있어요': '46'}"""
146,146,북부동 커피카고,커피카고,4.38,34,33,경북 경산시 중방로 119,10:00 - 21:00,053-201-2442,http://0532012442.tshome.co.kr/,"""NO INFO""",공사중,"""{'커피가 맛있어요': '5', '음료가 맛있어요': '3', '대화하기 좋아요': '3', '주차하기 편해요': '2', '특별한 메뉴가 있어요': '2'}"""
147,147,중방동 달콤하이,달콤하이,초기값,14,2,경북 경산시 중방로 19 (중방동),08:00 - 20:00,0507-1340-1653,NO INFO,"""주문 즉시 손질한 과일 디저트와 맛있는 음료 모두 구매 가능합니다""",공사중,"""{'커피가 맛있어요': '8', '음료가 맛있어요': '7', '친절해요': '7', '디저트가 맛있어요': '5'}"""
148,148,중앙동 라포미 본점,라포미 본점,4.49,507,146,경북 경산시 중방로 29 1층,10:00 - 24:00,053-815-8150,https://www.instagram.com/cafe_laforme,"""감성가득한 넓고 예쁜 카페 라포미에요.
경산맛집으로 유명한 라포미 매장에서 즐겨보세요.

또한 북유럽감성의 다양한 예쁜 소품들을 구경 및 인터넷최저가보다 저렴하게 구입 가능합니다.

연인들에겐 데이트코스로 커피한잔하면서, 예쁘고 특별한 소품을 부담없이 선물할 수 있어서 뜻깊은 시간을 보낼 수 있어요.
플리마켓보다 다양한 제품들, 어디서도 구할 수 없는 다양한 제품들로 당신의 마음을 사로잡을 것 입니다.

라포미는 Life For Me 의 약자로 '나를 위한 삶'을 의미합니다.

항상 예쁜 소품들은 비싸서 남들에게 선물하기엔 좋지만 나를 위해는 쉽게 못사셨죠?
라포미로 오시면 그 생각이 바뀌실 겁니다.
마음편하게 오셔서 마음편하게 쉬다 가실 수 있는 그런 따뜻한 곳이 되겠습니다.
항상 모든분들께 덕을 쌓는 다는 마음으로 운영하고 있습니다.
따뜻하게 다가와주세요. 라포미의 모든 직원들은 꼭 그 이상 보답하겠습니다.""",공사중,"""{'디저트가 맛있어요': '140', '커피가 맛있어요': '132', '음료가 맛있어요': '128', '친절해요': '94', '매장이 청결해요': '65'}"""
149,149,서부1동 마실커피 경산역점,마실커피 경산역점,초기값,212,69,경북 경산시 중앙로 5-1 1층,07:00 - 23:00,0507-1380-3554,NO INFO,"""안녕하세요! 마실커피 경산역점 입니다.
항상 정성스럽게 맛있는 두가지 종류(미디엄/다크)의 커피와 음료 그리고 다양한 디저트 제공해드리는 경산역점이 되겠습니다!
많은 관심과 사랑 부탁드리겠습니다^^""",공사중,"""{'커피가 맛있어요': '104', '음료가 맛있어요': '82', '가성비가 좋아요': '61', '친절해요': '46'}"""
150,150,서부1동 라포미 경산역점,라포미 경산역점,4.36,72,20,경북 경산시 중앙로 8,06:00 - 02:00,010-6409-2866,https://www.instagram.com/cafelaforme,"""LAFORME : Life For Me

안녕하세요. 저희는 아이들과 부모님들이 프라이빗하고 자유롭게 즐길수있는 무인키즈까페&공간대여&파티룸 입니다.

100%예약제로 운영되며 타임마다 청소,환기가 진행됩니다^^ 키즈뿐만 아니라 대학생분들 모임, 사내 모임, 지인 모임, 생일파티 장소로도 강력하게 추천드립니다!!

오셔서 음식,커피 배달은 자유롭게 이용가능하시고, 취사는 안전상 불가합니다.

엄마들은 편하게, 아이들은 재미있게 늘 준비하는 라포미가 되겠습니다!!

문의 : 010-6409-2866""",공사중,"""{'커피가 맛있어요': '26', '음료가 맛있어요': '22', '디저트가 맛있어요': '20', '친절해요': '16', '가성비가 좋아요': '9'}"""
151,151,중앙동 텐퍼센트커피 경산시청점,텐퍼센트커피 경산시청점,초기값,121,6,경북 경산시 중앙로 82,NO INFO,0507-0289-4542,http://www.tenpercentcoffee.com/,"""NO INFO""",공사중,"""{'커피가 맛있어요': '74', '친절해요': '51', '가성비가 좋아요': '41', '매장이 청결해요': '27', '음료가 맛있어요': '22', '인테리어가 멋져요': '10', '디저트가 맛있어요': '9', '대화하기 좋아요': '5', '좌석이 편해요': '4', '사진이 잘 나와요': '4', '특별한 메뉴가 있어요': '3', '주차하기 편해요': '2', '양이 많아요': '1', '화장실이 깨끗해요': '1'}"""
152,152,중방동 복고다방 경산시장점,복고다방경산시장점,4.42,146,초기값,경북 경산시 중앙로16길 12,NO INFO,053-814-5756,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '39', '친절해요': '28', '음료가 맛있어요': '21', '가성비가 좋아요': '18', '디저트가 맛있어요': '6'}"""
153,153,중방동 길카페,길카페,4.62,36,15,경북 경산시 중앙로17길 28,"11:30 - 22:00
21:30 라스트오더",0507-1385-7010,http://www.instagram.com/gil_cafe_,"""안녕하세요. 모든 손님들께 편안한 공간이고 싶은 길카 페입니다 🙇 👈🏻 온누리상품권 / 재난지원금 사용가능 ⠀ 👈🏻 세명병원 도보 5분 이내 / 경산시 중앙로1...""",공사중,"""{'커피가 맛있어요': '9', '친절해요': '8', '디저트가 맛있어요': '5', '음료가 맛있어요': '5', '가성비가 좋아요': '5', '대화하기 좋아요': '5', '인테리어가 멋져요': '3', '매장이 청결해요': '3', '집중하기 좋아요': '3', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2', '좌석이 편해요': '1', '사진이 잘 나와요': '1', '특별한 메뉴가 있어요': '1'}"""
154,154,중방동 애프터밀,애프터밀,초기값,74,31,경북 경산시 중앙로17길 3 1층,NO INFO,0507-1355-8953,https://www.instagram.com/cafe_aftermeal,"""NO INFO""",공사중,"""{'커피가 맛있어요': '44', '디저트가 맛있어요': '38', '친절해요': '29', '음료가 맛있어요': '21'}"""
155,155,중방동 카페포스트스토리,포스트스토리,초기값,166,31,경북 경산시 중앙로17길 67,12:00 - 22:00,0507-1407-3380,NO INFO,"""향기로운커피와수제청음료와생과일주스 건강한메뉴구성과함께사랑하는이에게손편지를보낼수있는중방동맛집카페 포스트스토리""",공사중,"""{'커피가 맛있어요': '44', '음료가 맛있어요': '39', '친절해요': '36', '디저트가 맛있어요': '26'}"""
156,156,진량읍 카페리우,카페리우,4.45,208,초기값,경북 경산시 진량읍 공단1로 28-1,11:00 - 23:00,053-852-1964,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '91', '친절해요': '31', '음료가 맛있어요': '29', '디저트가 맛있어요': '21', '매장이 청결해요': '17'}"""
157,157,진량읍 크리미넛,크리미넛,4.9,432,38,경북 경산시 진량읍 공단1로 45,NO INFO,0507-1364-9702,https://www.instagram.com/creamy__nut,"""크리미넛 도넛은 반죽부터 크림까지 모두 직접 만드는 수제 크림도넛샵입니다. 
모든 디저트는 당일생산 / 당일판매를 원칙으로 합니다. 
맛있는 도넛과 함께 행복한 하루 보내세요 :)""",공사중,"""{'커피가 맛있어요': '223', '디저트가 맛있어요': '133', '친절해요': '71', '음료가 맛있어요': '55', '가성비가 좋아요': '30'}"""
158,158,진량읍 카페리코 진량점,카페리코 진량점,4.33,87,초기값,경북 경산시 진량읍 공단1로 51,08:00 - 24:00,0507-1436-8867,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '19', '음료가 맛있어요': '10', '친절해요': '6', '디저트가 맛있어요': '4', '좌석이 편해요': '2'}"""
159,159,진량읍 다라케이크,다라케이크,초기값,19,8,경북 경산시 진량읍 공단1로1길 6-8 1층,NO INFO,0507-1379-9328,https://www.instagram.com/__daracake,"""좋은 재료로 정성껏 만드는 수제케이크 샵입니다:)""",공사중,"""{'디저트가 맛있어요': '12', '선물하기 좋아요': '9', '친절해요': '8', '가성비가 좋아요': '5'}"""
